name,salary,url
Data Scientist Middle+,[],https://novosibirsk.hh.ru/vacancy/111502160?query=Python&hhtmFrom=vacancy_search_list
QA-инженер,[],https://novosibirsk.hh.ru/vacancy/112385199?query=Python&hhtmFrom=vacancy_search_list
Ведущий сетевой инженер (г. Новосибирск),[],https://novosibirsk.hh.ru/vacancy/106348496?query=Python&hhtmFrom=vacancy_search_list
Программист C#,"['min', 100000, '₽']",https://novosibirsk.hh.ru/vacancy/72862686?query=Python&hhtmFrom=vacancy_search_list
Руководитель отдела системного администрирования,[],https://novosibirsk.hh.ru/vacancy/112447875?query=Python&hhtmFrom=vacancy_search_list
DevOps-инженер,"['min', 150000, 'max', 210000, '₽']",https://novosibirsk.hh.ru/vacancy/112378765?query=Python&hhtmFrom=vacancy_search_list
React Native разработчик,[],https://novosibirsk.hh.ru/vacancy/112493243?query=Python&hhtmFrom=vacancy_search_list
Преподаватель в школу программирования,"['min', 40000, 'max', 65000, '₽']",https://novosibirsk.hh.ru/vacancy/112320881?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=788808&utm_local_campaign=1202210&utm_content=828773&utm_vacancy=112320881
Data Scientist Управления модельных рисков и валидации,[],https://novosibirsk.hh.ru/vacancy/108997282?query=Python&hhtmFrom=vacancy_search_list
Инженер-программист Python (автоматизация измерительного оборудования),"['min', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/111728279?query=Python&hhtmFrom=vacancy_search_list
Python-разработчик/ Python Developer,"['max', 150000, '₽']",https://novosibirsk.hh.ru/vacancy/110958431?query=Python&hhtmFrom=vacancy_search_list
Старший эксперт по анализу сети,[],https://novosibirsk.hh.ru/vacancy/107069993?query=Python&hhtmFrom=vacancy_search_list
"Ведущий специалист (аналитик данных, автоматизация, программирование)",[],https://novosibirsk.hh.ru/vacancy/111732883?query=Python&hhtmFrom=vacancy_search_list
DevOps-инженер по сборке,[],https://novosibirsk.hh.ru/vacancy/107811155?query=Python&hhtmFrom=vacancy_search_list
Тестировщик desktop-приложений,"['min', 40000, 'max', 85000, '₽']",https://novosibirsk.hh.ru/vacancy/111193510?query=Python&hhtmFrom=vacancy_search_list
OPS инженер,[],https://novosibirsk.hh.ru/vacancy/106432642?query=Python&hhtmFrom=vacancy_search_list
Риск-аналитик,[],https://novosibirsk.hh.ru/vacancy/108504760?query=Python&hhtmFrom=vacancy_search_list
Pentester,[],https://novosibirsk.hh.ru/vacancy/106062971?query=Python&hhtmFrom=vacancy_search_list
Инженер по эксплуатации,[],https://novosibirsk.hh.ru/vacancy/111306642?query=Python&hhtmFrom=vacancy_search_list
DevOps инженер OnPremises,[],https://novosibirsk.hh.ru/vacancy/102254250?query=Python&hhtmFrom=vacancy_search_list
